"","CRN","all_time","all_days","Section","Seats","course_name","format.time","has.tba"
"560",35128,"9:00 - 10:20 AM|4:10 - 7:00 PM|7:10 - 8:00 PM","TR|R|R","A20",0,"CHE 002B","T 9:00 - 10:20 AM#R 9:00 - 10:20 AM#R 4:10 - 7:00 PM#R 7:10 - 8:00 PM",0
"561",35129,"9:00 - 10:20 AM","TR","ARO",15,"CHE 002B","T 9:00 - 10:20 AM#R 9:00 - 10:20 AM",0
"562",35130,"8:00 - 8:50 AM|1:40 - 3:00 PM|4:10 - 7:00 PM","T|TR|M","B01",0,"CHE 002B","T 8:00 - 8:50 AM#T 1:40 - 3:00 PM#R 1:40 - 3:00 PM#M 4:10 - 7:00 PM",0
"563",35131,"8:00 - 8:50 AM|1:40 - 3:00 PM|4:10 - 7:00 PM","R|TR|M","B02",0,"CHE 002B","R 8:00 - 8:50 AM#T 1:40 - 3:00 PM#R 1:40 - 3:00 PM#M 4:10 - 7:00 PM",0
"564",35132,"1:40 - 3:00 PM|4:10 - 5:00 PM|7:10 - 10:00 PM","TR|W|M","B03",0,"CHE 002B","T 1:40 - 3:00 PM#R 1:40 - 3:00 PM#W 4:10 - 5:00 PM#M 7:10 - 10:00 PM",0
"565",35133,"9:00 - 9:50 AM|1:40 - 3:00 PM|7:10 - 10:00 PM","T|TR|M","B04",0,"CHE 002B","T 9:00 - 9:50 AM#T 1:40 - 3:00 PM#R 1:40 - 3:00 PM#M 7:10 - 10:00 PM",0
"566",35134,"9:00 - 11:50 AM|9:00 - 9:50 AM|1:40 - 3:00 PM","T|R|TR","B05",0,"CHE 002B","T 9:00 - 11:50 AM#R 9:00 - 9:50 AM#T 1:40 - 3:00 PM#R 1:40 - 3:00 PM",0
"567",35135,"8:00 - 8:50 AM|9:00 - 11:50 AM|1:40 - 3:00 PM","F|T|TR","B06",0,"CHE 002B","F 8:00 - 8:50 AM#T 9:00 - 11:50 AM#T 1:40 - 3:00 PM#R 1:40 - 3:00 PM",0
"568",35136,"1:40 - 3:00 PM|4:10 - 7:00 PM|7:10 - 8:00 PM","TR|T|R","B07",0,"CHE 002B","T 1:40 - 3:00 PM#R 1:40 - 3:00 PM#T 4:10 - 7:00 PM#R 7:10 - 8:00 PM",0
"569",35137,"1:40 - 3:00 PM|3:10 - 4:00 PM|4:10 - 7:00 PM","TR|R|T","B08",0,"CHE 002B","T 1:40 - 3:00 PM#R 1:40 - 3:00 PM#R 3:10 - 4:00 PM#T 4:10 - 7:00 PM",0
"570",35138,"11:00 - 11:50 AM|1:40 - 3:00 PM|7:10 - 10:00 PM","T|TR|T","B09",0,"CHE 002B","T 11:00 - 11:50 AM#T 1:40 - 3:00 PM#R 1:40 - 3:00 PM#T 7:10 - 10:00 PM",0
"571",35139,"1:40 - 3:00 PM|4:10 - 5:00 PM|7:10 - 10:00 PM","TR|T|T","B10",0,"CHE 002B","T 1:40 - 3:00 PM#R 1:40 - 3:00 PM#T 4:10 - 5:00 PM#T 7:10 - 10:00 PM",0
"572",35140,"1:40 - 3:00 PM|4:10 - 7:00 PM|5:10 - 6:00 PM","TR|W|M","B11",0,"CHE 002B","T 1:40 - 3:00 PM#R 1:40 - 3:00 PM#W 4:10 - 7:00 PM#M 5:10 - 6:00 PM",0
"573",35141,"1:40 - 3:00 PM|3:10 - 4:00 PM|4:10 - 7:00 PM","TR|R|W","B12",0,"CHE 002B","T 1:40 - 3:00 PM#R 1:40 - 3:00 PM#R 3:10 - 4:00 PM#W 4:10 - 7:00 PM",0
"574",35142,"1:40 - 3:00 PM|3:10 - 4:00 PM|7:10 - 10:00 PM","TR|R|W","B13",0,"CHE 002B","T 1:40 - 3:00 PM#R 1:40 - 3:00 PM#R 3:10 - 4:00 PM#W 7:10 - 10:00 PM",0
"575",35145,"9:00 - 11:50 AM|1:40 - 3:00 PM|7:10 - 8:00 PM","R|TR|T","B16",0,"CHE 002B","R 9:00 - 11:50 AM#T 1:40 - 3:00 PM#R 1:40 - 3:00 PM#T 7:10 - 8:00 PM",0
"576",35146,"1:40 - 3:00 PM|TBA","TR|NA","BRO",17,"CHE 002B","T 1:40 - 3:00 PM#R 1:40 - 3:00 PM",1
"577",35147,"8:00 - 8:50 AM|1:10 - 4:00 PM|5:10 - 6:00 PM","R|M|MWF","C01",0,"CHE 002B","R 8:00 - 8:50 AM#M 1:10 - 4:00 PM#M 5:10 - 6:00 PM#W 5:10 - 6:00 PM#F 5:10 - 6:00 PM",0
"578",35148,"1:10 - 4:00 PM|5:10 - 6:00 PM|6:10 - 7:00 PM","M|MWF|R","C02",0,"CHE 002B","M 1:10 - 4:00 PM#M 5:10 - 6:00 PM#W 5:10 - 6:00 PM#F 5:10 - 6:00 PM#R 6:10 - 7:00 PM",0
"579",35149,"9:00 - 11:50 AM|5:10 - 6:00 PM|7:10 - 8:00 PM","T|MWF|R","C03",0,"CHE 002B","T 9:00 - 11:50 AM#M 5:10 - 6:00 PM#W 5:10 - 6:00 PM#F 5:10 - 6:00 PM#R 7:10 - 8:00 PM",0
"580",35150,"8:00 - 8:50 AM|9:00 - 11:50 AM|5:10 - 6:00 PM","T|T|MWF","C04",0,"CHE 002B","T 8:00 - 8:50 AM#T 9:00 - 11:50 AM#M 5:10 - 6:00 PM#W 5:10 - 6:00 PM#F 5:10 - 6:00 PM",0
"581",35151,"1:10 - 4:00 PM|1:10 - 2:00 PM|5:10 - 6:00 PM","T|W|MWF","C05",0,"CHE 002B","T 1:10 - 4:00 PM#W 1:10 - 2:00 PM#M 5:10 - 6:00 PM#W 5:10 - 6:00 PM#F 5:10 - 6:00 PM",0
"582",35152,"9:00 - 9:50 AM|1:10 - 4:00 PM|5:10 - 6:00 PM","M|T|MWF","C06",0,"CHE 002B","M 9:00 - 9:50 AM#T 1:10 - 4:00 PM#M 5:10 - 6:00 PM#W 5:10 - 6:00 PM#F 5:10 - 6:00 PM",0
"583",35153,"12:10 - 1:00 PM|4:10 - 7:00 PM|5:10 - 6:00 PM","F|T|MWF","C07",0,"CHE 002B","F 12:10 - 1:00 PM#T 4:10 - 7:00 PM#M 5:10 - 6:00 PM#W 5:10 - 6:00 PM#F 5:10 - 6:00 PM",0
"584",35156,"12:10 - 1:00 PM|5:10 - 6:00 PM|7:10 - 10:00 PM","M|MWF|T","C10",0,"CHE 002B","M 12:10 - 1:00 PM#M 5:10 - 6:00 PM#W 5:10 - 6:00 PM#F 5:10 - 6:00 PM#T 7:10 - 10:00 PM",0
"585",35157,"1:10 - 4:00 PM|1:10 - 2:00 PM|5:10 - 6:00 PM","W|F|MWF","C11",0,"CHE 002B","W 1:10 - 4:00 PM#F 1:10 - 2:00 PM#M 5:10 - 6:00 PM#W 5:10 - 6:00 PM#F 5:10 - 6:00 PM",0
"586",35158,"12:10 - 1:00 PM|1:10 - 4:00 PM|5:10 - 6:00 PM","F|W|MWF","C12",0,"CHE 002B","F 12:10 - 1:00 PM#W 1:10 - 4:00 PM#M 5:10 - 6:00 PM#W 5:10 - 6:00 PM#F 5:10 - 6:00 PM",0
"587",35159,"9:00 - 11:50 AM|5:10 - 6:00 PM|7:10 - 8:00 PM","R|MWF|M","C13",3,"CHE 002B","R 9:00 - 11:50 AM#M 5:10 - 6:00 PM#W 5:10 - 6:00 PM#F 5:10 - 6:00 PM#M 7:10 - 8:00 PM",0
"588",35160,"9:00 - 11:50 AM|1:10 - 2:00 PM|5:10 - 6:00 PM","R|M|MWF","C14",0,"CHE 002B","R 9:00 - 11:50 AM#M 1:10 - 2:00 PM#M 5:10 - 6:00 PM#W 5:10 - 6:00 PM#F 5:10 - 6:00 PM",0
"589",35161,"1:10 - 4:00 PM|3:10 - 4:00 PM|5:10 - 6:00 PM","R|F|MWF","C15",0,"CHE 002B","R 1:10 - 4:00 PM#F 3:10 - 4:00 PM#M 5:10 - 6:00 PM#W 5:10 - 6:00 PM#F 5:10 - 6:00 PM",0
"590",35162,"1:10 - 2:00 PM|1:10 - 4:00 PM|5:10 - 6:00 PM","M|R|MWF","C16",0,"CHE 002B","M 1:10 - 2:00 PM#R 1:10 - 4:00 PM#M 5:10 - 6:00 PM#W 5:10 - 6:00 PM#F 5:10 - 6:00 PM",0
