"","CRN","Time","Days","SEC","Seats","Course Location"
"6144","62058","11:00 - 11:50 AM","F","A08","9","RST 011REMOTE TBA"
"6145","62122","10:00 - 10:50 AM","F","A03","11","RST 023REMOTE TBA"
"6146","62122","4:40 - 6:00 PM","TR","A03","11","RST 023REMOTE TBA"
"6147","62123","4:40 - 6:00 PM","TR","A04","13","RST 023REMOTE TBA"
"6148","62123","11:00 - 11:50 AM","F","A04","13","RST 023REMOTE TBA"
"6149","62059","6:10 - 7:30 PM","TR","001","13","RST 065CREMOTE TBA"
"6150","62060","10:30 - 11:50 AM","TR","001","17","RST 080REMOTE TBA"
"6151","62061","9:00 - 9:50 AM","MWF","001","8","RST 115REMOTE TBA"
"6152","62359","12:10 - 1:00 PM","MWF","001","10","RST 130REMOTE TBA"
"6153","62062","11:00 - 11:50 AM","MWF","001","14","RST 135REMOTE TBA"
"6154","62062","5:10 - 8:00 PM","W","001","14","RST 135REMOTE TBA"
"6155","62063","9:00 - 10:20 AM","TR","001","25","RST 136REMOTE TBA"
"6156","62215","1:40 - 3:00 PM","TR","001","0","RST 158REMOTE TBA"
"6157","62065","1:10 - 4:00 PM","W","001","20","RST 165REMOTE TBA"
"6158","62066","3:10 - 4:30 PM","TR","001","0","RST 170REMOTE TBA"
"6159","62189","4:40 - 6:00 PM","TR","A01","0","RST 171REMOTE TBA"
"6160","62189","4:10 - 5:00 PM","W","A01","0","RST 171REMOTE TBA"
"6161","62190","4:40 - 6:00 PM","TR","A02","0","RST 171REMOTE TBA"
"6162","62190","5:10 - 6:00 PM","W","A02","0","RST 171REMOTE TBA"
"6163","62192","4:40 - 6:00 PM","TR","A04","0","RST 171REMOTE TBA"
"6164","62192","6:10 - 7:00 PM","R","A04","0","RST 171REMOTE TBA"
"6165","62193","3:10 - 4:00 PM","R","A03","0","RST 171REMOTE TBA"
"6166","62193","4:40 - 6:00 PM","TR","A03","0","RST 171REMOTE TBA"
"6167","62187","1:40 - 3:00 PM","TR","A01","0","RST 181REMOTE TBA"
"6168","62187","3:10 - 4:00 PM","T","A01","0","RST 181REMOTE TBA"
"6169","62188","1:40 - 3:00 PM","TR","A02","0","RST 181REMOTE TBA"
"6170","62188","6:10 - 7:00 PM","T","A02","0","RST 181REMOTE TBA"
"6171","59420","1:10 - 4:00 PM","W","001","10","RST 190REMOTE TBA"
"6172","59460","9:00 - 9:50 AM","MTWRF","001","5","RUS 003REMOTE TBA"
"6173","59460","TBA",NA,"001","5","RUS 003REMOTE TBA"
"6174","59461","10:00 - 10:50 AM","MTWR","001","20","RUS 006REMOTE TBA"
"6175","59461","TBA",NA,"001","20","RUS 006REMOTE TBA"
"6176","59473","11:00 - 11:50 AM","MWF","001","14","RUS 101CREMOTE TBA"
"6177","59474","12:10 - 1:00 PM","MWF","001","22","RUS 105REMOTE TBA"
"6178","59474","TBA",NA,"001","22","RUS 105TBA"
"6179","62097","5:10 - 8:00 PM","W","001","0","RUS 129REMOTE TBA"
"6180","62097","1:40 - 3:00 PM","TR","001","0","RUS 129REMOTE TBA"
"6181","62098","10:30 - 11:50 AM","TR","001","11","RUS 133REMOTE TBA"
"6182","59605","11:00 - 11:50 AM","R","A01","0","SAS 002VONLINE"
"6183","59605","TBA",NA,"A01","0","SAS 002VONLINE"
"6184","59606","11:00 - 11:50 AM","F","A02","0","SAS 002VONLINE"
"6185","59606","TBA",NA,"A02","0","SAS 002VONLINE"
"6186","59609","3:10 - 4:30 PM","TR","001","0","SAS 009REMOTE TBA"
"6187","59610","1:10 - 2:00 PM","MW","001","28","SAS 010REMOTE TBA"
"6188","59610","1:10 - 2:00 PM","F","001","28","SAS 010REMOTE TBA"
"6189","59611","9:00 - 9:50 AM","MWF","001","0","SAS 012REMOTE TBA"
"6190","59612","TBA",NA,"A01","0","SAS 025VTBA"
