"","X1","CRN","Time","Days","SEC","Seats","Course Location","course_name"
"1",1,30001,"10:30 - 11:50 AM","TR","A01",0,"AAS 010REMOTE TBA","AAS 010"
"2",2,30001,"5:10 - 6:00 PM","T","A01",0,"AAS 010REMOTE TBA","AAS 010"
"3",3,30002,"6:10 - 7:00 PM","T","A02",0,"AAS 010REMOTE TBA","AAS 010"
"4",4,30002,"10:30 - 11:50 AM","TR","A02",0,"AAS 010REMOTE TBA","AAS 010"
"5",5,30005,"1:40 - 3:00 PM","TR","A01",0,"AAS 012REMOTE TBA","AAS 012"
"6",6,30005,"4:10 - 5:00 PM","W","A01",0,"AAS 012REMOTE TBA","AAS 012"
"7",7,30006,"1:40 - 3:00 PM","TR","A02",0,"AAS 012REMOTE TBA","AAS 012"
"8",8,30006,"5:10 - 6:00 PM","W","A02",0,"AAS 012REMOTE TBA","AAS 012"
"9",9,30007,"1:40 - 3:00 PM","TR","A03",0,"AAS 012REMOTE TBA","AAS 012"
"10",10,30007,"5:10 - 6:00 PM","R","A03",0,"AAS 012REMOTE TBA","AAS 012"
"11",11,30008,"1:40 - 3:00 PM","TR","A04",7,"AAS 012REMOTE TBA","AAS 012"
"12",12,30008,"6:10 - 7:00 PM","R","A04",7,"AAS 012REMOTE TBA","AAS 012"
"13",13,62088,"5:10 - 6:00 PM","T","A01",0,"AAS 100REMOTE TBA","AAS 100"
"14",14,62088,"9:00 - 10:20 AM","TR","A01",0,"AAS 100REMOTE TBA","AAS 100"
"15",15,62089,"6:10 - 7:00 PM","T","A02",0,"AAS 100REMOTE TBA","AAS 100"
"16",16,62089,"9:00 - 10:20 AM","TR","A02",0,"AAS 100REMOTE TBA","AAS 100"
"17",17,62090,"6:10 - 7:00 PM","W","A03",9,"AAS 100REMOTE TBA","AAS 100"
"18",18,62090,"9:00 - 10:20 AM","MTR","A03",9,"AAS 100REMOTE TBA","AAS 100"
"19",19,62091,"9:00 - 10:20 AM","TR","A04",0,"AAS 100REMOTE TBA","AAS 100"
"20",20,62091,"7:10 - 8:00 PM","W","A04",0,"AAS 100REMOTE TBA","AAS 100"
"21",21,62092,"5:10 - 6:00 PM","R","A05",0,"AAS 100REMOTE TBA","AAS 100"
"22",22,62092,"9:00 - 10:20 AM","TR","A05",0,"AAS 100REMOTE TBA","AAS 100"
"23",23,62093,"6:10 - 7:00 PM","R","A06",4,"AAS 100REMOTE TBA","AAS 100"
"24",24,62093,"9:00 - 10:20 AM","TR","A06",4,"AAS 100REMOTE TBA","AAS 100"
"25",25,30021,"2:10 - 4:00 PM","MW","001",1,"AAS 107DREMOTE TBA","AAS 107D"
"26",26,62731,"6:10 - 7:00 PM","TR","001",8,"AAS 130REMOTE TBA","AAS 130"
"27",27,62731,"7:10 - 8:00 PM","T","001",8,"AAS 130REMOTE TBA","AAS 130"
"28",28,62731,"TBA",NA,"001",8,"AAS 130TBA","AAS 130"
"29",29,62106,"4:10 - 6:00 PM","MW","001",20,"AAS 145BREMOTE TBA","AAS 145B"
"30",30,62107,"4:40 - 6:00 PM","TR","001",3,"AAS 153REMOTE TBA","AAS 153"
"31",31,62653,"12:10 - 2:00 PM","TR","001",15,"AAS 155AREMOTE TBA","AAS 155A"
"32",32,62111,"10:00 - 11:50 AM","MW","001",25,"AAS 176REMOTE TBA","AAS 176"
"33",33,62113,"12:10 - 1:30 PM","MW","001",0,"AAS 185REMOTE TBA","AAS 185"
"34",34,30077,"3:30 - 5:00 PM","MW","001",0,"ABG 200BREMOTE TBA","ABG 200B"
"35",35,30078,"TBA",NA,"002",8,"ABG 200BTBA","ABG 200B"
"36",36,62879,"10:00 - 11:50 AM","TR","001",1,"ABG 205REMOTE TBA","ABG 205"
"37",37,62879,"TBA",NA,"001",1,"ABG 205REMOTE TBA","ABG 205"
"38",38,30080,"10:00 - 10:50 AM","MW","001",-1,"ABG 255REMOTE TBA","ABG 255"
"39",39,30081,"TBA",NA,"001",0,"ABG 290TBA","ABG 290"
"40",40,30082,"TBA",NA,"002",8,"ABG 290TBA","ABG 290"
"41",41,61990,"9:00 - 11:50 AM","T","A01",0,"ABI 050AREMOTE TBA","ABI 050A"
"42",42,61990,"8:00 - 8:50 AM","R","A01",0,"ABI 050AREMOTE TBA","ABI 050A"
"43",43,61991,"2:10 - 5:00 PM","T","A02",0,"ABI 050AREMOTE TBA","ABI 050A"
"44",44,61991,"8:00 - 8:50 AM","R","A02",0,"ABI 050AREMOTE TBA","ABI 050A"
"45",45,61992,"9:00 - 11:50 AM","F","A03",0,"ABI 050AREMOTE TBA","ABI 050A"
"46",46,61992,"8:00 - 8:50 AM","R","A03",0,"ABI 050AREMOTE TBA","ABI 050A"
"47",47,61993,"2:10 - 5:00 PM","F","A04",10,"ABI 050AREMOTE TBA","ABI 050A"
"48",48,61993,"8:00 - 8:50 AM","R","A04",10,"ABI 050AREMOTE TBA","ABI 050A"
"49",49,30211,"9:00 - 10:20 AM","TR","001",15,"ABI 050CREMOTE TBA","ABI 050C"
"50",50,30212,"4:40 - 6:00 PM","TR","002",29,"ABI 050CREMOTE TBA","ABI 050C"
"51",51,62182,"8:00 - 8:50 AM","MTWR","001",178,"ABI 103REMOTE TBA","ABI 103"
"52",52,62182,"8:00 - 8:50 AM","F","001",178,"ABI 103REMOTE TBA","ABI 103"
"53",53,30341,"1:10 - 4:00 PM","M","A01",0,"ABT 049WCAE","ABT 049"
"54",54,30341,"9:00 - 9:50 AM","M","A01",0,"ABT 049REMOTE TBA","ABT 049"
"55",55,30342,"9:00 - 9:50 AM","M","A02",0,"ABT 049REMOTE TBA","ABT 049"
"56",56,30342,"1:10 - 4:00 PM","T","A02",0,"ABT 049WCAE","ABT 049"
"57",57,30343,"9:00 - 9:50 AM","M","A03",0,"ABT 049REMOTE TBA","ABT 049"
"58",58,30343,"1:10 - 4:00 PM","W","A03",0,"ABT 049WCAE","ABT 049"
"59",59,30344,"9:00 - 9:50 AM","M","A04",0,"ABT 049REMOTE TBA","ABT 049"
"60",60,30344,"1:10 - 4:00 PM","R","A04",0,"ABT 049WCAE","ABT 049"
"61",61,30345,"9:00 - 9:50 AM","M","A05",0,"ABT 049REMOTE TBA","ABT 049"
"62",62,30345,"1:10 - 4:00 PM","F","A05",0,"ABT 049WCAE","ABT 049"
"63",63,30346,"9:00 - 9:50 AM","M","A06",0,"ABT 049REMOTE TBA","ABT 049"
"64",64,30346,"9:00 - 11:50 AM","S","A06",0,"ABT 049WCAE","ABT 049"
"65",65,30347,"11:00 - 11:50 AM","M","B01",0,"ABT 049REMOTE TBA","ABT 049"
"66",66,30347,"1:10 - 4:00 PM","M","B01",0,"ABT 049WCAE","ABT 049"
"67",67,30348,"11:00 - 11:50 AM","M","B02",0,"ABT 049REMOTE TBA","ABT 049"
"68",68,30348,"1:10 - 4:00 PM","T","B02",0,"ABT 049WCAE","ABT 049"
"69",69,30349,"11:00 - 11:50 AM","M","B03",0,"ABT 049REMOTE TBA","ABT 049"
"70",70,30349,"1:10 - 4:00 PM","W","B03",0,"ABT 049WCAE","ABT 049"
"71",71,30350,"11:00 - 11:50 AM","M","B04",0,"ABT 049REMOTE TBA","ABT 049"
"72",72,30350,"1:10 - 4:00 PM","R","B04",0,"ABT 049WCAE","ABT 049"
"73",73,30351,"11:00 - 11:50 AM","M","B05",0,"ABT 049REMOTE TBA","ABT 049"
"74",74,30351,"1:10 - 4:00 PM","F","B05",0,"ABT 049WCAE","ABT 049"
"75",75,30352,"11:00 - 11:50 AM","M","B06",0,"ABT 049REMOTE TBA","ABT 049"
"76",76,30352,"9:00 - 11:50 AM","S","B06",0,"ABT 049WCAE","ABT 049"
"77",77,62896,"10:00 - 12:50 PM","W","001",3,"ABT 060WCAE","ABT 060"
"78",78,62896,"9:00 - 10:20 AM","TR","001",3,"ABT 060REMOTE TBA","ABT 060"
"79",79,62896,"TBA",NA,"001",3,"ABT 060REMOTE TBA","ABT 060"
"80",80,62325,"1:10 - 3:00 PM","R","001",21,"ABT 110REMOTE TBA","ABT 110"
"81",81,62325,"12:10 - 1:00 PM","TR","001",21,"ABT 110REMOTE TBA","ABT 110"
"82",82,30407,"9:00 - 11:50 AM","F","001",0,"ABT 142REMOTE TBA","ABT 142"
"83",83,30407,"8:00 - 8:50 AM","F","001",0,"ABT 142REMOTE TBA","ABT 142"
"84",84,30408,"9:00 - 11:50 AM","F","A01",0,"ABT 150REMOTE TBA","ABT 150"
"85",85,30408,"9:00 - 10:20 AM","TR","A01",0,"ABT 150REMOTE TBA","ABT 150"
"86",86,30409,"1:10 - 4:00 PM","F","A02",0,"ABT 150REMOTE TBA","ABT 150"
"87",87,30409,"9:00 - 10:20 AM","TR","A02",0,"ABT 150REMOTE TBA","ABT 150"
"88",88,30410,"1:10 - 4:00 PM","R","A03",0,"ABT 150REMOTE TBA","ABT 150"
"89",89,30410,"9:00 - 10:20 AM","TR","A03",0,"ABT 150REMOTE TBA","ABT 150"
"90",90,30411,"9:00 - 10:20 AM","TR","A04",0,"ABT 150REMOTE TBA","ABT 150"
"91",91,30411,"9:00 - 11:50 AM","F","A04",0,"ABT 150REMOTE TBA","ABT 150"
"92",92,30412,"9:00 - 11:50 AM","R","001",9,"ABT 163REMOTE TBA","ABT 163"
"93",93,30546,"2:10 - 4:00 PM","TR","001",2,"ABT 212REMOTE TBA","ABT 212"
"94",94,30546,"TBA",NA,"001",2,"ABT 212TBA","ABT 212"
"95",95,30630,"TBA",NA,"001",15,"ACC 205TBA","ACC 205"
"96",96,30631,"TBA",NA,"001",25,"ACC 215TBA","ACC 215"
"97",97,30632,"TBA",NA,"001",1,"ACC 243TBA","ACC 243"
"98",98,30633,"TBA",NA,"002",1,"ACC 243TBA","ACC 243"
"99",99,30634,"TBA",NA,"001",25,"ACC 455TBA","ACC 455"
"100",100,30653,"TBA",NA,"001",6,"AED 301TBA","AED 301"
"101",101,30657,"2:10 - 3:00 PM","W","001",12,"AGC 290REMOTE TBA","AGC 290"
"102",102,30693,"10:30 - 11:50 AM","TR","A01",2,"AHI 001CREMOTE TBA","AHI 001C"
"103",103,30693,"9:00 - 9:50 AM","M","A01",2,"AHI 001CREMOTE TBA","AHI 001C"
"104",104,30694,"10:30 - 11:50 AM","TR","A02",7,"AHI 001CREMOTE TBA","AHI 001C"
"105",105,30694,"10:00 - 11:50 AM","M","A02",7,"AHI 001CREMOTE TBA","AHI 001C"
"106",106,30695,"5:10 - 6:00 PM","M","A03",0,"AHI 001CREMOTE TBA","AHI 001C"
"107",107,30695,"10:30 - 11:50 AM","TR","A03",0,"AHI 001CREMOTE TBA","AHI 001C"
"108",108,30696,"10:30 - 11:50 AM","TR","A04",9,"AHI 001CREMOTE TBA","AHI 001C"
"109",109,30696,"9:00 - 9:50 AM","T","A04",9,"AHI 001CREMOTE TBA","AHI 001C"
"110",110,30697,"4:10 - 5:00 PM","T","A05",7,"AHI 001CREMOTE TBA","AHI 001C"
"111",111,30697,"10:30 - 11:50 AM","TR","A05",7,"AHI 001CREMOTE TBA","AHI 001C"
"112",112,30698,"9:00 - 9:50 AM","W","A06",16,"AHI 001CREMOTE TBA","AHI 001C"
"113",113,30698,"10:30 - 11:50 AM","TR","A06",16,"AHI 001CREMOTE TBA","AHI 001C"
"114",114,30699,"10:00 - 10:50 AM","W","A07",10,"AHI 001CREMOTE TBA","AHI 001C"
"115",115,30699,"10:30 - 11:50 AM","TR","A07",10,"AHI 001CREMOTE TBA","AHI 001C"
"116",116,30700,"9:00 - 9:50 AM","R","A08",11,"AHI 001CREMOTE TBA","AHI 001C"
"117",117,30700,"10:30 - 11:50 AM","TR","A08",11,"AHI 001CREMOTE TBA","AHI 001C"
"118",118,30701,"10:30 - 11:50 AM","TR","A09",13,"AHI 001CREMOTE TBA","AHI 001C"
"119",119,30701,"4:10 - 5:00 PM","R","A09",13,"AHI 001CREMOTE TBA","AHI 001C"
"120",120,30703,"TBA",NA,"001",10,"AHI 001DTBA","AHI 001D"
"121",121,30703,"12:10 - 2:00 PM","MW","001",10,"AHI 001DREMOTE TBA","AHI 001D"
"122",122,62227,"10:10 - 1:00 PM","F","001",0,"AHI 101REMOTE TBA","AHI 101"
"123",123,62194,"3:10 - 4:00 PM","T","A01",0,"AHI 153REMOTE TBA","AHI 153"
"124",124,62194,"1:40 - 3:00 PM","TR","A01",0,"AHI 153REMOTE TBA","AHI 153"
"125",125,62195,"1:40 - 3:00 PM","TR","A02",0,"AHI 153REMOTE TBA","AHI 153"
"126",126,62195,"6:10 - 7:00 PM","T","A02",0,"AHI 153REMOTE TBA","AHI 153"
"127",127,62196,"4:10 - 5:00 PM","W","A01",0,"AHI 157REMOTE TBA","AHI 157"
"128",128,62196,"4:40 - 6:00 PM","TR","A01",0,"AHI 157REMOTE TBA","AHI 157"
"129",129,62197,"4:40 - 6:00 PM","TR","A02",0,"AHI 157REMOTE TBA","AHI 157"
"130",130,62197,"5:10 - 6:00 PM","W","A02",0,"AHI 157REMOTE TBA","AHI 157"
"131",131,62198,"3:10 - 4:00 PM","R","A03",0,"AHI 157REMOTE TBA","AHI 157"
"132",132,62198,"4:40 - 6:00 PM","TR","A03",0,"AHI 157REMOTE TBA","AHI 157"
"133",133,62199,"4:40 - 6:00 PM","TR","A04",0,"AHI 157REMOTE TBA","AHI 157"
"134",134,62199,"6:10 - 7:00 PM","R","A04",0,"AHI 157REMOTE TBA","AHI 157"
"135",135,62205,"2:10 - 4:00 PM","MW","001",28,"AHI 163DREMOTE TBA","AHI 163D"
"136",136,30726,"10:00 - 11:50 AM","MW","001",50,"AHI 181REMOTE TBA","AHI 181"
"137",137,30726,"TBA",NA,"001",50,"AHI 181TBA","AHI 181"
"138",138,62183,"12:10 - 1:30 PM","TR","001",15,"AHI 183AREMOTE TBA","AHI 183A"
"139",139,62206,"10:30 - 11:50 AM","TR","001",0,"AHI 187REMOTE TBA","AHI 187"
"140",140,30728,"12:10 - 3:00 PM","T","001",10,"AHI 190CREMOTE TBA","AHI 190C"
"141",141,30776,"12:10 - 3:00 PM","T","001",3,"AHI 290REMOTE TBA","AHI 290"
"142",142,30852,"4:10 - 5:00 PM","W","A01",0,"AMS 005REMOTE TBA","AMS 005"
"143",143,30852,"1:10 - 2:00 PM","MWF","A01",0,"AMS 005REMOTE TBA","AMS 005"
"144",144,30853,"1:10 - 2:00 PM","MWF","A02",0,"AMS 005REMOTE TBA","AMS 005"
"145",145,30853,"5:10 - 6:00 PM","W","A02",0,"AMS 005REMOTE TBA","AMS 005"
"146",146,30854,"1:10 - 2:00 PM","MWF","A03",0,"AMS 005REMOTE TBA","AMS 005"
"147",147,30854,"6:10 - 7:00 PM","R","A03",0,"AMS 005REMOTE TBA","AMS 005"
"148",148,30855,"1:10 - 2:00 PM","MWF","A04",0,"AMS 005REMOTE TBA","AMS 005"
"149",149,30855,"7:10 - 8:00 PM","R","A04",0,"AMS 005REMOTE TBA","AMS 005"
"150",150,30856,"9:00 - 9:50 AM","F","A05",0,"AMS 005REMOTE TBA","AMS 005"
"151",151,30856,"1:10 - 2:00 PM","MWF","A05",0,"AMS 005REMOTE TBA","AMS 005"
"152",152,30857,"10:00 - 10:50 AM","F","A06",0,"AMS 005REMOTE TBA","AMS 005"
"153",153,30857,"1:10 - 2:00 PM","MWF","A06",0,"AMS 005REMOTE TBA","AMS 005"
"154",154,61927,"10:30 - 11:50 AM","TR","A01",0,"AMS 030REMOTE TBA","AMS 030"
"155",155,61927,"5:10 - 6:00 PM","T","A01",0,"AMS 030REMOTE TBA","AMS 030"
"156",156,61928,"10:30 - 11:50 AM","TR","A02",0,"AMS 030REMOTE TBA","AMS 030"
"157",157,61928,"6:10 - 7:00 PM","T","A02",0,"AMS 030REMOTE TBA","AMS 030"
"158",158,61929,"10:30 - 11:50 AM","TR","A03",0,"AMS 030REMOTE TBA","AMS 030"
"159",159,61929,"6:10 - 7:00 PM","W","A03",0,"AMS 030REMOTE TBA","AMS 030"
"160",160,61930,"10:30 - 11:50 AM","TR","A04",0,"AMS 030REMOTE TBA","AMS 030"
"161",161,61930,"7:10 - 8:00 PM","W","A04",0,"AMS 030REMOTE TBA","AMS 030"
"162",162,30858,"3:10 - 4:30 PM","TR","A01",0,"AMS 055REMOTE TBA","AMS 055"
"163",163,30858,"5:10 - 6:00 PM","T","A01",0,"AMS 055REMOTE TBA","AMS 055"
"164",164,30859,"3:10 - 4:30 PM","TR","A02",0,"AMS 055REMOTE TBA","AMS 055"
"165",165,30859,"6:10 - 7:00 PM","T","A02",0,"AMS 055REMOTE TBA","AMS 055"
"166",166,30860,"3:10 - 4:30 PM","TR","A03",0,"AMS 055REMOTE TBA","AMS 055"
"167",167,30860,"4:10 - 5:00 PM","W","A03",0,"AMS 055REMOTE TBA","AMS 055"
"168",168,30861,"3:10 - 4:30 PM","TR","A04",0,"AMS 055REMOTE TBA","AMS 055"
"169",169,30861,"5:10 - 6:00 PM","W","A04",0,"AMS 055REMOTE TBA","AMS 055"
"170",170,30862,"3:10 - 4:30 PM","TR","A05",0,"AMS 055REMOTE TBA","AMS 055"
"171",171,30862,"5:10 - 6:00 PM","R","A05",0,"AMS 055REMOTE TBA","AMS 055"
"172",172,30863,"3:10 - 4:30 PM","TR","A06",0,"AMS 055REMOTE TBA","AMS 055"
"173",173,30863,"6:10 - 7:00 PM","R","A06",0,"AMS 055REMOTE TBA","AMS 055"
"174",174,30864,"9:00 - 9:50 AM","F","A07",0,"AMS 055REMOTE TBA","AMS 055"
"175",175,30864,"3:10 - 4:30 PM","TR","A07",0,"AMS 055REMOTE TBA","AMS 055"
"176",176,30865,"10:00 - 10:50 AM","F","A08",0,"AMS 055REMOTE TBA","AMS 055"
"177",177,30865,"3:10 - 4:30 PM","TR","A08",0,"AMS 055REMOTE TBA","AMS 055"
"178",178,30866,"12:10 - 1:00 PM","F","A09",0,"AMS 055REMOTE TBA","AMS 055"
"179",179,30866,"3:10 - 4:30 PM","TR","A09",0,"AMS 055REMOTE TBA","AMS 055"
"180",180,30867,"1:10 - 2:00 PM","F","A10",0,"AMS 055REMOTE TBA","AMS 055"
"181",181,30867,"3:10 - 4:30 PM","TR","A10",0,"AMS 055REMOTE TBA","AMS 055"
"182",182,30871,"9:00 - 9:50 AM","W","A01",0,"AMS 095REMOTE TBA","AMS 095"
"183",183,30871,"9:00 - 9:50 AM","M","A01",0,"AMS 095REMOTE TBA","AMS 095"
"184",184,61931,"TBA",NA,"001",0,"AMS 130TBA","AMS 130"
"185",185,61931,"12:10 - 1:30 PM","TR","001",0,"AMS 130REMOTE TBA","AMS 130"
"186",186,30897,"10:00 - 10:50 AM","TR","001",19,"AMS 153REMOTE TBA","AMS 153"
"187",187,30897,"11:00 - 11:50 AM","TR","001",19,"AMS 153REMOTE TBA","AMS 153"
"188",188,61934,"2:10 - 5:00 PM","R","001",5,"AMS 160REMOTE TBA","AMS 160"
"189",189,31111,"12:10 - 1:00 PM","T","A01",0,"ANG 107REMOTE TBA","ANG 107"
"190",190,31111,"11:00 - 11:50 AM","T","A01",0,"ANG 107REMOTE TBA","ANG 107"
"191",191,31111,"4:10 - 5:00 PM","MTWRF","A01",0,"ANG 107REMOTE TBA","ANG 107"
"192",192,31112,"12:10 - 1:00 PM","T","A02",0,"ANG 107REMOTE TBA","ANG 107"
"193",193,31112,"1:10 - 2:00 PM","T","A02",0,"ANG 107REMOTE TBA","ANG 107"
"194",194,31112,"4:10 - 5:00 PM","MTWRF","A02",0,"ANG 107REMOTE TBA","ANG 107"
"195",195,31113,"4:10 - 5:00 PM","MTWRF","A03",0,"ANG 107REMOTE TBA","ANG 107"
"196",196,31113,"1:10 - 2:00 PM","T","A03",0,"ANG 107REMOTE TBA","ANG 107"
"197",197,31113,"2:10 - 3:00 PM","T","A03",0,"ANG 107REMOTE TBA","ANG 107"
"198",198,31114,"4:10 - 5:00 PM","MTWRF","A04",0,"ANG 107REMOTE TBA","ANG 107"
"199",199,31114,"3:10 - 4:00 PM","T","A04",0,"ANG 107REMOTE TBA","ANG 107"
"200",200,31114,"2:10 - 3:00 PM","T","A04",0,"ANG 107REMOTE TBA","ANG 107"
"201",201,31115,"10:00 - 10:50 AM","F","010",0,"ANG 185REMOTE TBA","ANG 185"
"202",202,31175,"8:00 - 10:50 AM","T","A01",0,"ANS 002REMOTE TBA","ANS 002"
"203",203,31175,"11:00 - 11:50 AM","MWF","A01",0,"ANS 002REMOTE TBA","ANS 002"
"204",204,31176,"8:00 - 10:50 AM","T","A02",0,"ANS 002REMOTE TBA","ANS 002"
"205",205,31176,"11:00 - 11:50 AM","MWF","A02",0,"ANS 002REMOTE TBA","ANS 002"
"206",206,31177,"11:00 - 11:50 AM","MWF","A03",0,"ANS 002REMOTE TBA","ANS 002"
"207",207,31177,"11:00 - 1:50 PM","T","A03",0,"ANS 002REMOTE TBA","ANS 002"
"208",208,31178,"11:00 - 11:50 AM","MWF","A04",0,"ANS 002REMOTE TBA","ANS 002"
"209",209,31178,"11:00 - 1:50 PM","T","A04",0,"ANS 002REMOTE TBA","ANS 002"
"210",210,31179,"11:00 - 11:50 AM","MWF","A05",0,"ANS 002REMOTE TBA","ANS 002"
"211",211,31179,"2:10 - 5:00 PM","T","A05",0,"ANS 002REMOTE TBA","ANS 002"
"212",212,31180,"11:00 - 11:50 AM","MWF","A06",0,"ANS 002REMOTE TBA","ANS 002"
"213",213,31180,"2:10 - 5:00 PM","T","A06",0,"ANS 002REMOTE TBA","ANS 002"
"214",214,31181,"8:00 - 10:50 AM","W","A07",0,"ANS 002REMOTE TBA","ANS 002"
"215",215,31181,"11:00 - 11:50 AM","MWF","A07",0,"ANS 002REMOTE TBA","ANS 002"
"216",216,31182,"8:00 - 10:50 AM","W","A08",0,"ANS 002REMOTE TBA","ANS 002"
"217",217,31182,"11:00 - 11:50 AM","MWF","A08",0,"ANS 002REMOTE TBA","ANS 002"
"218",218,31183,"11:00 - 11:50 AM","MWF","A09",0,"ANS 002REMOTE TBA","ANS 002"
"219",219,31183,"12:10 - 3:00 PM","W","A09",0,"ANS 002REMOTE TBA","ANS 002"
"220",220,31184,"11:00 - 11:50 AM","MWF","A10",0,"ANS 002REMOTE TBA","ANS 002"
"221",221,31184,"12:10 - 3:00 PM","W","A10",0,"ANS 002REMOTE TBA","ANS 002"
"222",222,31185,"11:00 - 11:50 AM","MWF","A11",0,"ANS 002REMOTE TBA","ANS 002"
"223",223,31185,"3:10 - 6:00 PM","W","A11",0,"ANS 002REMOTE TBA","ANS 002"
"224",224,31186,"11:00 - 11:50 AM","MWF","A12",0,"ANS 002REMOTE TBA","ANS 002"
"225",225,31186,"3:10 - 6:00 PM","W","A12",0,"ANS 002REMOTE TBA","ANS 002"
"226",226,31187,"8:00 - 10:50 AM","R","A13",0,"ANS 002REMOTE TBA","ANS 002"
"227",227,31187,"11:00 - 11:50 AM","MWF","A13",0,"ANS 002REMOTE TBA","ANS 002"
"228",228,31188,"8:00 - 10:50 AM","R","A14",1,"ANS 002REMOTE TBA","ANS 002"
"229",229,31188,"11:00 - 11:50 AM","MWF","A14",1,"ANS 002REMOTE TBA","ANS 002"
"230",230,31189,"11:00 - 11:50 AM","MWF","A15",0,"ANS 002REMOTE TBA","ANS 002"
"231",231,31189,"11:00 - 1:50 PM","R","A15",0,"ANS 002REMOTE TBA","ANS 002"
"232",232,31190,"11:00 - 11:50 AM","MWF","A16",0,"ANS 002REMOTE TBA","ANS 002"
"233",233,31190,"11:00 - 1:50 PM","R","A16",0,"ANS 002REMOTE TBA","ANS 002"
"234",234,31191,"11:00 - 11:50 AM","MWF","A17",0,"ANS 002REMOTE TBA","ANS 002"
"235",235,31191,"2:10 - 5:00 PM","R","A17",0,"ANS 002REMOTE TBA","ANS 002"
"236",236,31192,"11:00 - 11:50 AM","MWF","A18",0,"ANS 002REMOTE TBA","ANS 002"
"237",237,31192,"2:10 - 5:00 PM","R","A18",0,"ANS 002REMOTE TBA","ANS 002"
"238",238,31193,"8:00 - 10:50 AM","F","A19",0,"ANS 002REMOTE TBA","ANS 002"
"239",239,31193,"11:00 - 11:50 AM","MWF","A19",0,"ANS 002REMOTE TBA","ANS 002"
"240",240,31194,"8:00 - 10:50 AM","F","A20",0,"ANS 002REMOTE TBA","ANS 002"
"241",241,31194,"11:00 - 11:50 AM","MWF","A20",0,"ANS 002REMOTE TBA","ANS 002"
"242",242,31195,"11:00 - 11:50 AM","MWF","A21",0,"ANS 002REMOTE TBA","ANS 002"
"243",243,31195,"12:10 - 3:00 PM","F","A21",0,"ANS 002REMOTE TBA","ANS 002"
"244",244,31196,"11:00 - 11:50 AM","MWF","A22",0,"ANS 002REMOTE TBA","ANS 002"
"245",245,31196,"12:10 - 3:00 PM","F","A22",0,"ANS 002REMOTE TBA","ANS 002"
"246",246,31197,"11:00 - 11:50 AM","MWF","A23",0,"ANS 002REMOTE TBA","ANS 002"
"247",247,31197,"3:10 - 6:00 PM","F","A23",0,"ANS 002REMOTE TBA","ANS 002"
"248",248,31198,"11:00 - 11:50 AM","MWF","A24",0,"ANS 002REMOTE TBA","ANS 002"
"249",249,31198,"3:10 - 6:00 PM","F","A24",0,"ANS 002REMOTE TBA","ANS 002"
"250",250,31199,"2:10 - 5:00 PM","MW","001",6,"ANS 021REMOTE TBA","ANS 021"
"251",251,31429,"12:10 - 1:00 PM","MTWR","001",0,"ANS 100REMOTE TBA","ANS 100"
"252",252,31429,"12:10 - 1:00 PM","F","001",0,"ANS 100REMOTE TBA","ANS 100"
"253",253,31430,"9:00 - 9:50 AM","R","A01",0,"ANS 104REMOTE TBA","ANS 104"
"254",254,31430,"12:10 - 1:00 PM","MWF","A01",0,"ANS 104REMOTE TBA","ANS 104"
"255",255,31431,"12:10 - 1:00 PM","MWF","A02",0,"ANS 104REMOTE TBA","ANS 104"
"256",256,31431,"1:10 - 2:00 PM","R","A02",0,"ANS 104REMOTE TBA","ANS 104"
"257",257,31432,"12:10 - 1:00 PM","MWF","A03",0,"ANS 104REMOTE TBA","ANS 104"
"258",258,31432,"10:00 - 10:50 AM","F","A03",0,"ANS 104REMOTE TBA","ANS 104"
"259",259,31433,"12:10 - 1:00 PM","MWF","A04",0,"ANS 104REMOTE TBA","ANS 104"
"260",260,31433,"10:00 - 10:50 AM","F","A04",0,"ANS 104REMOTE TBA","ANS 104"
"261",261,31434,"2:10 - 3:00 PM","F","A05",0,"ANS 104REMOTE TBA","ANS 104"
"262",262,31434,"12:10 - 1:00 PM","MWF","A05",0,"ANS 104REMOTE TBA","ANS 104"
"263",263,31435,"2:10 - 3:00 PM","F","A06",0,"ANS 104REMOTE TBA","ANS 104"
"264",264,31435,"12:10 - 1:00 PM","MWF","A06",0,"ANS 104REMOTE TBA","ANS 104"
"265",265,31436,"12:10 - 1:00 PM","MWF","A07",0,"ANS 104REMOTE TBA","ANS 104"
"266",266,31436,"4:10 - 5:00 PM","F","A07",0,"ANS 104REMOTE TBA","ANS 104"
"267",267,31437,"9:00 - 10:20 AM","TR","001",0,"ANS 112REMOTE TBA","ANS 112"
"268",268,31438,"9:00 - 9:50 AM","MWF","A01",0,"ANS 123REMOTE TBA","ANS 123"
"269",269,31438,"11:00 - 11:50 AM","M","A01",0,"ANS 123REMOTE TBA","ANS 123"
"270",270,31439,"9:00 - 9:50 AM","MWF","A02",0,"ANS 123REMOTE TBA","ANS 123"
"271",271,31439,"1:10 - 2:00 PM","M","A02",0,"ANS 123REMOTE TBA","ANS 123"
"272",272,31440,"8:00 - 8:50 AM","T","A03",0,"ANS 123REMOTE TBA","ANS 123"
"273",273,31440,"9:00 - 9:50 AM","MWF","A03",0,"ANS 123REMOTE TBA","ANS 123"
"274",274,31441,"9:00 - 9:50 AM","MWF","A04",0,"ANS 123REMOTE TBA","ANS 123"
