"","X1","CRN","Time","Days","SEC","Seats","Course Location","course_name"
"3222",3222,41944,"TBA",NA,"005",0,"ENL 003REMASY TBA","ENL 003"
"3223",3223,41945,"TBA",NA,"006",0,"ENL 003REMASY TBA","ENL 003"
"3224",3224,41946,"TBA",NA,"007",0,"ENL 003REMASY TBA","ENL 003"
"3225",3225,41947,"TBA",NA,"008",0,"ENL 003REMASY TBA","ENL 003"
"3226",3226,41948,"4:10 - 6:00 PM","MW","009",0,"ENL 003REMOTE TBA","ENL 003"
"3227",3227,41949,"8:00 - 9:50 AM","TR","010",0,"ENL 003REMOTE TBA","ENL 003"
"3228",3228,41950,"12:10 - 2:00 PM","TR","011",0,"ENL 003REMOTE TBA","ENL 003"
"3229",3229,41951,"12:10 - 2:00 PM","TR","012",0,"ENL 003REMOTE TBA","ENL 003"
"3230",3230,41952,"12:10 - 2:00 PM","TR","013",0,"ENL 003REMOTE TBA","ENL 003"
"3231",3231,41953,"2:10 - 4:00 PM","TR","014",0,"ENL 003REMOTE TBA","ENL 003"
"3232",3232,41954,"2:10 - 4:00 PM","TR","015",0,"ENL 003REMOTE TBA","ENL 003"
"3233",3233,41955,"TBA",NA,"016",0,"ENL 003REMASY TBA","ENL 003"
"3234",3234,41956,"TBA",NA,"017",0,"ENL 003REMASY TBA","ENL 003"
"3235",3235,41957,"TBA",NA,"018",0,"ENL 003REMASY TBA","ENL 003"
"3236",3236,41958,"TBA",NA,"001",0,"ENL 003AREMASY TBA","ENL 003A"
"3237",3237,62507,"TBA",NA,"004",4,"ENL 003AREMASY TBA","ENL 003A"
"3238",3238,41961,"8:00 - 9:50 AM","MW","001",0,"ENL 005FREMOTE TBA","ENL 005F"
"3239",3239,41962,"12:10 - 2:00 PM","MW","002",0,"ENL 005FREMOTE TBA","ENL 005F"
"3240",3240,41963,"12:10 - 2:00 PM","MW","003",0,"ENL 005FREMOTE TBA","ENL 005F"
"3241",3241,41964,"4:10 - 6:00 PM","TR","004",0,"ENL 005FREMOTE TBA","ENL 005F"
"3242",3242,41965,"8:00 - 9:50 AM","TR","005",6,"ENL 005FREMOTE TBA","ENL 005F"
"3243",3243,41966,"12:10 - 2:00 PM","TR","006",0,"ENL 005FREMOTE TBA","ENL 005F"
"3244",3244,41967,"4:10 - 6:00 PM","TR","007",1,"ENL 005FREMOTE TBA","ENL 005F"
"3245",3245,41968,"9:00 - 10:50 AM","TR","008",3,"ENL 005FREMOTE TBA","ENL 005F"
"3246",3246,41969,"4:10 - 6:00 PM","TR","001",6,"ENL 005NFREMOTE TBA","ENL 005NF"
"3247",3247,41970,"8:00 - 9:50 AM","MW","001",1,"ENL 005PREMOTE TBA","ENL 005P"
"3248",3248,41971,"4:10 - 6:00 PM","MW","002",0,"ENL 005PREMOTE TBA","ENL 005P"
"3249",3249,41972,"10:00 - 11:50 AM","TR","003",4,"ENL 005PREMOTE TBA","ENL 005P"
"3250",3250,41973,"6:10 - 7:00 PM","R","A01",0,"ENL 010BREMOTE TBA","ENL 010B"
"3251",3251,41973,"12:10 - 1:30 PM","TR","A01",0,"ENL 010BREMOTE TBA","ENL 010B"
"3252",3252,41974,"6:10 - 7:00 PM","R","A02",0,"ENL 010BREMOTE TBA","ENL 010B"
"3253",3253,41974,"12:10 - 1:30 PM","TR","A02",0,"ENL 010BREMOTE TBA","ENL 010B"
"3254",3254,41975,"9:00 - 9:50 AM","F","A03",0,"ENL 010BREMOTE TBA","ENL 010B"
"3255",3255,41975,"12:10 - 1:30 PM","TR","A03",0,"ENL 010BREMOTE TBA","ENL 010B"
"3256",3256,41976,"12:10 - 1:30 PM","TR","A04",0,"ENL 010BREMOTE TBA","ENL 010B"
"3257",3257,41976,"10:00 - 10:50 AM","F","A04",0,"ENL 010BREMOTE TBA","ENL 010B"
"3258",3258,41979,"6:10 - 7:00 PM","T","A01",0,"ENL 010CREMOTE TBA","ENL 010C"
"3259",3259,41979,"3:10 - 4:30 PM","TR","A01",0,"ENL 010CREMOTE TBA","ENL 010C"
"3260",3260,41980,"6:10 - 7:00 PM","T","A02",7,"ENL 010CREMOTE TBA","ENL 010C"
"3261",3261,41980,"3:10 - 4:30 PM","TR","A02",7,"ENL 010CREMOTE TBA","ENL 010C"
"3262",3262,41981,"3:10 - 4:30 PM","TR","A03",11,"ENL 010CREMOTE TBA","ENL 010C"
"3263",3263,41981,"7:10 - 8:00 PM","T","A03",11,"ENL 010CREMOTE TBA","ENL 010C"
"3264",3264,41982,"8:00 - 8:50 AM","R","A04",14,"ENL 010CREMOTE TBA","ENL 010C"
"3265",3265,41982,"3:10 - 4:30 PM","TR","A04",14,"ENL 010CREMOTE TBA","ENL 010C"
"3266",3266,41983,"8:00 - 8:50 AM","R","A05",14,"ENL 010CREMOTE TBA","ENL 010C"
"3267",3267,41983,"3:10 - 4:30 PM","TR","A05",14,"ENL 010CREMOTE TBA","ENL 010C"
"3268",3268,41984,"9:00 - 9:50 AM","R","A06",0,"ENL 010CREMOTE TBA","ENL 010C"
"3269",3269,41984,"3:10 - 4:30 PM","TR","A06",0,"ENL 010CREMOTE TBA","ENL 010C"
"3270",3270,41985,"2:10 - 3:30 PM","MW","001",3,"ENL 040REMOTE TBA","ENL 040"
"3271",3271,41986,"4:40 - 6:00 PM","TR","002",15,"ENL 040REMOTE TBA","ENL 040"
"3272",3272,62126,"10:30 - 11:50 AM","TR","001",51,"ENL 052REMOTE TBA","ENL 052"
"3273",3273,62392,"1:10 - 2:00 PM","MWF","A01",0,"ENL 106REMOTE TBA","ENL 106"
"3274",3274,62392,"12:10 - 1:00 PM","W","A01",0,"ENL 106REMOTE TBA","ENL 106"
"3275",3275,62393,"1:10 - 2:00 PM","MWF","A02",19,"ENL 106REMOTE TBA","ENL 106"
"3276",3276,62393,"5:10 - 6:00 PM","R","A02",19,"ENL 106REMOTE TBA","ENL 106"
"3277",3277,42088,"12:10 - 1:30 PM","TR","A01",1,"ENL 110BREMOTE TBA","ENL 110B"
"3278",3278,42088,"6:10 - 7:00 PM","R","A01",1,"ENL 110BREMOTE TBA","ENL 110B"
"3279",3279,42089,"12:10 - 1:30 PM","TR","A02",6,"ENL 110BREMOTE TBA","ENL 110B"
"3280",3280,42089,"7:10 - 8:00 PM","R","A02",6,"ENL 110BREMOTE TBA","ENL 110B"
"3281",3281,42090,"10:30 - 11:50 AM","TR","A01",0,"ENL 111REMOTE TBA","ENL 111"
"3282",3282,42090,"6:10 - 7:00 PM","R","A01",0,"ENL 111REMOTE TBA","ENL 111"
